Chunk,Frame,PSNR (dB),SSIM
46,713,35.4744,0.950646
46,714,34.8444,0.945089
46,715,35.561,0.951242
46,716,35.0193,0.946996
46,717,35.5563,0.950628
46,718,35.0874,0.946698
46,719,35.6595,0.951436
46,720,35.1764,0.947676
46,721,35.6457,0.950756
46,722,35.0765,0.945835
46,723,35.7116,0.9514
46,724,35.2428,0.947787
46,725,35.7571,0.951354
46,726,35.6248,0.949199
46,727,35.2388,0.948467
46,728,35.7302,0.9506
46,729,35.2834,0.948292
46,730,35.6667,0.949398
46,731,34.6063,0.944707
46,732,34.9717,0.945244
46,733,34.8429,0.944455
46,734,34.6915,0.941638
46,735,34.7544,0.943522
46,736,34.7174,0.941825
46,737,34.6382,0.941627
46,738,34.6948,0.940468
46,739,34.5289,0.94106
46,740,34.6772,0.940899
46,741,34.7077,0.941019
46,742,34.4181,0.937671
46,743,35.363,0.946839
46,744,34.752,0.941694
46,745,35.4615,0.947149
46,746,34.9133,0.942358
46,747,35.6098,0.94842
46,748,35.3387,0.945597
46,749,33.9461,0.930717
46,750,34.2185,0.934735
46,751,33.7461,0.93069
46,752,34.4474,0.937276
46,753,33.7547,0.929018
46,754,34.4543,0.937765
46,755,34.0721,0.933312
46,756,34.5386,0.938536
46,757,34.0232,0.93235
46,758,34.549,0.939121
46,759,34.1149,0.934353
46,760,34.5676,0.938859
46,761,34.1635,0.933675
46,762,34.4587,0.938334
46,763,34.1407,0.934363
46,764,34.4068,0.937712
46,765,34.0401,0.932859
46,766,34.2488,0.936803
46,767,33.9817,0.933013
46,768,34.2332,0.935948
46,769,34.1017,0.932892
46,770,34.0218,0.934122
46,771,34.969,0.942924
46,772,34.6889,0.940812
46,773,34.6656,0.939138
46,774,34.9091,0.943268
46,775,34.4107,0.937919
46,776,34.738,0.940907
46,777,34.2971,0.93546
46,778,34.7675,0.941103
46,779,34.4523,0.938146
46,780,34.6916,0.940902
46,781,34.3162,0.935926
46,782,34.6626,0.940629
46,783,34.3609,0.937027
46,784,34.6352,0.940192
46,785,34.275,0.935563
46,786,34.4721,0.93911
46,787,34.2308,0.935817
46,788,34.4004,0.93809
46,789,34.1253,0.933724
46,790,34.2415,0.936694
46,791,34.091,0.93421
46,792,34.1673,0.935414
46,793,34.0119,0.931918
46,794,31.995,0.907563
46,795,32.8537,0.919885
46,796,32.6299,0.917963
46,797,33.0212,0.92144
46,798,32.8498,0.922045
46,799,33.2722,0.925284
46,800,33.0932,0.924304
46,801,33.2264,0.924102
46,802,33.0708,0.92477
46,803,33.3351,0.926342
46,804,33.1651,0.925542
46,805,33.2747,0.924704
46,806,33.116,0.925308
46,807,33.3343,0.926417
46,808,33.2049,0.925864
46,809,33.2719,0.924627
46,810,33.1519,0.92551
46,811,33.3106,0.926113
46,812,33.2378,0.925877
46,813,33.2257,0.924015
46,814,33.245,0.925859
46,815,33.3099,0.925546
46,816,33.3124,0.926168
